       Cdx2           Gata6           Nanog        Pou5f1 (Oct4)
   2.1280000e+01   2.2440000e+01   2.8000000e+01   1.5720000e+01
   2.3430000e+01   2.4940000e+01   2.3300000e+01   1.5480000e+01
   2.2870000e+01   2.4630000e+01   2.3710000e+01   1.5470000e+01
   2.3280000e+01   2.3240000e+01   2.3870000e+01   1.5430000e+01
   2.4190000e+01   2.2450000e+01   2.8000000e+01   1.5690000e+01
   2.1870000e+01   2.3700000e+01   2.8000000e+01   1.5170000e+01
   2.2740000e+01   2.3420000e+01   2.5910000e+01   1.4900000e+01
   2.4140000e+01   2.1160000e+01   2.8000000e+01   1.5610000e+01
   2.1910000e+01   2.3220000e+01   2.8000000e+01   1.5510000e+01
   2.3030000e+01   2.4450000e+01   2.8000000e+01   1.8920000e+01
   2.2590000e+01   2.4410000e+01   2.8000000e+01   1.8830000e+01
   2.1710000e+01   2.3870000e+01   2.1680000e+01   1.8240000e+01
   2.5130000e+01   2.4730000e+01   2.2780000e+01   1.8810000e+01
   2.3800000e+01   2.8000000e+01   2.4240000e+01   1.9110000e+01
   2.5030000e+01   2.8000000e+01   2.3320000e+01   1.9270000e+01
   2.4150000e+01   2.8000000e+01   2.8000000e+01   1.8920000e+01
   2.2810000e+01   2.8000000e+01   2.6990000e+01   1.9020000e+01
   2.2080000e+01   2.8000000e+01   2.4610000e+01   1.9600000e+01
   2.3600000e+01   2.4020000e+01   2.2910000e+01   1.9790000e+01
   2.4400000e+01   2.2820000e+01   2.4950000e+01   2.0070000e+01
   2.2480000e+01   2.8000000e+01   2.8000000e+01   1.8470000e+01
   2.3510000e+01   2.8000000e+01   2.8000000e+01   1.8010000e+01
   2.2060000e+01   2.3720000e+01   2.4340000e+01   1.9260000e+01
   2.2420000e+01   2.8000000e+01   2.5090000e+01   1.8830000e+01
   2.3990000e+01   2.0920000e+01   2.6940000e+01   2.0140000e+01
   2.2240000e+01   2.2880000e+01   2.6920000e+01   1.9510000e+01
   2.2260000e+01   2.3020000e+01   2.3490000e+01   1.9850000e+01
   2.1910000e+01   2.2600000e+01   2.3560000e+01   1.9290000e+01
   2.2330000e+01   2.2280000e+01   2.1200000e+01   1.9850000e+01
   2.2830000e+01   2.4940000e+01   2.1710000e+01   2.1490000e+01
   2.3270000e+01   2.0790000e+01   1.9400000e+01   1.9450000e+01
   2.2970000e+01   2.2230000e+01   2.1530000e+01   1.9980000e+01
   2.3700000e+01   2.7310000e+01   2.1550000e+01   1.9660000e+01
   2.3650000e+01   2.8000000e+01   2.0900000e+01   2.1230000e+01
   2.5310000e+01   2.0060000e+01   2.0810000e+01   2.0980000e+01
   2.2020000e+01   2.0430000e+01   1.9910000e+01   1.9640000e+01
   2.1860000e+01   2.2000000e+01   2.3170000e+01   2.0090000e+01
   2.2720000e+01   2.2660000e+01   2.2210000e+01   2.0560000e+01
   2.2480000e+01   2.2710000e+01   2.2240000e+01   2.0930000e+01
   2.4670000e+01   2.0490000e+01   2.2470000e+01   1.9780000e+01
   2.4030000e+01   2.2070000e+01   2.1060000e+01   1.9840000e+01
   2.3480000e+01   2.0310000e+01   2.2700000e+01   1.9280000e+01
   2.2550000e+01   2.0300000e+01   2.0430000e+01   2.0000000e+01
   2.2360000e+01   2.0430000e+01   2.3360000e+01   2.1570000e+01
   2.4230000e+01   2.1370000e+01   2.0960000e+01   2.1950000e+01
   2.2830000e+01   2.1340000e+01   2.0970000e+01   2.0350000e+01
   2.2600000e+01   2.1050000e+01   2.0230000e+01   2.1590000e+01
   2.3240000e+01   1.8780000e+01   2.2200000e+01   2.0710000e+01
   2.2170000e+01   2.0670000e+01   2.0130000e+01   1.9690000e+01
   2.2530000e+01   2.1330000e+01   1.9960000e+01   1.9330000e+01
   2.2970000e+01   2.1960000e+01   2.0110000e+01   1.9160000e+01
   2.5680000e+01   2.0070000e+01   2.1920000e+01   2.1110000e+01
   2.3580000e+01   1.8300000e+01   1.8640000e+01   1.9390000e+01
   2.8000000e+01   1.7660000e+01   2.1790000e+01   1.8850000e+01
   2.3040000e+01   1.7290000e+01   2.0540000e+01   1.8580000e+01
   2.1270000e+01   1.7630000e+01   2.0300000e+01   1.9010000e+01
   2.1780000e+01   1.7730000e+01   1.8400000e+01   1.7880000e+01
   2.2220000e+01   1.6620000e+01   1.8850000e+01   1.8350000e+01
   2.2590000e+01   1.7700000e+01   2.1100000e+01   1.7850000e+01
   2.8000000e+01   2.1400000e+01   2.4220000e+01   2.4460000e+01
   2.1990000e+01   1.7550000e+01   1.8800000e+01   1.8730000e+01
   2.4030000e+01   1.7240000e+01   1.8460000e+01   1.7770000e+01
   2.2560000e+01   1.6660000e+01   1.9630000e+01   1.7550000e+01
   2.8000000e+01   1.7560000e+01   2.0380000e+01   1.8990000e+01
   2.2160000e+01   2.0020000e+01   2.0800000e+01   2.0400000e+01
   2.2300000e+01   2.1150000e+01   2.2330000e+01   2.2980000e+01
   2.2620000e+01   1.9370000e+01   1.9710000e+01   2.0730000e+01
   2.3990000e+01   1.8270000e+01   1.8310000e+01   1.9840000e+01
   2.1700000e+01   1.7890000e+01   1.8350000e+01   1.2100000e+01
   2.3350000e+01   1.9650000e+01   1.8480000e+01   1.5620000e+01
   2.5170000e+01   2.0650000e+01   1.8820000e+01   2.0750000e+01
   2.2690000e+01   1.8710000e+01   1.8970000e+01   1.9130000e+01
   2.2520000e+01   1.8950000e+01   2.3660000e+01   2.2140000e+01
   2.3060000e+01   2.4730000e+01   2.6630000e+01   2.2780000e+01
   2.3370000e+01   1.7480000e+01   2.0340000e+01   1.9470000e+01
   2.2660000e+01   1.9720000e+01   2.5350000e+01   1.8420000e+01
   2.3520000e+01   2.0240000e+01   2.4820000e+01   2.1190000e+01
   2.3350000e+01   1.7610000e+01   1.9590000e+01   1.8810000e+01
   2.1160000e+01   1.6940000e+01   1.9520000e+01   1.9020000e+01
   2.1990000e+01   1.7810000e+01   1.8070000e+01   1.9030000e+01
   2.8000000e+01   1.7790000e+01   1.8670000e+01   2.0160000e+01
   2.2300000e+01   1.8190000e+01   1.8140000e+01   1.9870000e+01
   2.1770000e+01   1.7780000e+01   1.7880000e+01   1.9260000e+01
   2.2500000e+01   1.8020000e+01   2.0360000e+01   1.9440000e+01
   2.2700000e+01   1.9680000e+01   1.8370000e+01   1.8830000e+01
   2.5490000e+01   1.8910000e+01   1.9790000e+01   1.9960000e+01
   2.2550000e+01   1.7890000e+01   1.8700000e+01   2.0190000e+01
   2.4920000e+01   1.9810000e+01   1.8230000e+01   1.9490000e+01
   2.3820000e+01   1.9220000e+01   1.8990000e+01   2.1330000e+01
   2.3570000e+01   1.7700000e+01   1.9350000e+01   1.9230000e+01
   2.2430000e+01   1.9340000e+01   2.1920000e+01   1.9420000e+01
   2.3150000e+01   1.9570000e+01   1.9200000e+01   1.9370000e+01
   2.2100000e+01   1.7130000e+01   1.9310000e+01   1.8750000e+01
   2.4230000e+01   2.0000000e+01   1.9210000e+01   1.9830000e+01
   2.2770000e+01   2.0350000e+01   1.8530000e+01   2.0710000e+01
   2.2910000e+01   1.9510000e+01   2.1570000e+01   2.0430000e+01
   2.0410000e+01   1.8290000e+01   1.8250000e+01   1.7930000e+01
   2.1460000e+01   1.7850000e+01   2.0620000e+01   1.7470000e+01
   1.9250000e+01   1.7570000e+01   1.6600000e+01   1.6560000e+01
   1.9700000e+01   1.7840000e+01   2.0520000e+01   1.7480000e+01
   2.0170000e+01   1.8570000e+01   1.8550000e+01   1.6880000e+01
   1.9390000e+01   1.7820000e+01   2.1560000e+01   1.7240000e+01
   1.8930000e+01   1.9310000e+01   1.7940000e+01   1.6840000e+01
   1.8740000e+01   1.7460000e+01   1.7840000e+01   1.6810000e+01
   2.1450000e+01   1.8240000e+01   1.6730000e+01   1.6770000e+01
   1.9420000e+01   1.8270000e+01   2.0020000e+01   1.7080000e+01
   2.0210000e+01   1.8180000e+01   1.8370000e+01   1.6810000e+01
   1.9510000e+01   1.8030000e+01   1.9340000e+01   1.7060000e+01
   1.8630000e+01   1.7240000e+01   1.8060000e+01   1.6630000e+01
   2.2250000e+01   1.7900000e+01   1.9350000e+01   1.7100000e+01
   1.9350000e+01   1.8340000e+01   2.0340000e+01   1.6960000e+01
   2.1670000e+01   1.9360000e+01   2.2680000e+01   1.9790000e+01
   1.9720000e+01   1.9600000e+01   1.8760000e+01   1.8130000e+01
   2.0650000e+01   1.8260000e+01   1.6960000e+01   1.8120000e+01
   1.9890000e+01   1.7700000e+01   2.1280000e+01   1.8020000e+01
   1.9360000e+01   1.8350000e+01   1.6980000e+01   1.7070000e+01
   1.9610000e+01   1.6900000e+01   1.6390000e+01   1.6140000e+01
   2.2710000e+01   1.8150000e+01   1.7380000e+01   1.7450000e+01
   2.0510000e+01   1.8020000e+01   1.8840000e+01   1.7040000e+01
   2.0670000e+01   1.9580000e+01   1.9280000e+01   1.6850000e+01
   2.1000000e+01   1.7730000e+01   1.8010000e+01   1.7060000e+01
   2.1050000e+01   1.7130000e+01   1.7710000e+01   1.7310000e+01
   1.9460000e+01   1.8080000e+01   1.8980000e+01   1.7240000e+01
   2.2110000e+01   1.8880000e+01   1.8330000e+01   1.7240000e+01
   1.9330000e+01   1.7880000e+01   1.6850000e+01   1.6890000e+01
   2.0810000e+01   1.8090000e+01   1.9390000e+01   1.7540000e+01
   1.9590000e+01   1.7350000e+01   1.7130000e+01   1.7280000e+01
   2.1460000e+01   1.8590000e+01   2.3190000e+01   1.8040000e+01
   2.0290000e+01   1.8410000e+01   1.9460000e+01   1.8110000e+01
   1.9560000e+01   1.7890000e+01   1.8910000e+01   1.7850000e+01
   2.1420000e+01   1.7680000e+01   2.0850000e+01   1.8190000e+01
   2.0530000e+01   1.7260000e+01   2.1340000e+01   1.7710000e+01
   1.9790000e+01   1.7810000e+01   2.5070000e+01   1.7660000e+01
   2.0040000e+01   1.9270000e+01   1.8870000e+01   1.7710000e+01
   2.0650000e+01   1.9980000e+01   2.0810000e+01   1.8550000e+01
   2.1830000e+01   1.9560000e+01   2.2680000e+01   1.9760000e+01
   2.0240000e+01   1.8160000e+01   1.8620000e+01   1.7920000e+01
   2.1020000e+01   1.8760000e+01   2.2550000e+01   1.8840000e+01
   1.9570000e+01   1.9010000e+01   2.0270000e+01   1.7980000e+01
   2.0420000e+01   1.8180000e+01   2.3110000e+01   1.8220000e+01
   2.0560000e+01   1.8160000e+01   1.9010000e+01   1.7510000e+01
   1.9290000e+01   1.7660000e+01   1.7830000e+01   1.7660000e+01
   2.1450000e+01   1.6220000e+01   2.2490000e+01   1.8220000e+01
   2.0020000e+01   1.6730000e+01   1.8350000e+01   1.7320000e+01
   2.0380000e+01   1.6340000e+01   2.3710000e+01   1.7060000e+01
   2.1220000e+01   1.7160000e+01   2.2930000e+01   1.6970000e+01
   2.2400000e+01   1.7150000e+01   1.9840000e+01   1.7490000e+01
   2.1320000e+01   1.6250000e+01   2.3570000e+01   1.6640000e+01
   2.4050000e+01   1.7770000e+01   2.1930000e+01   1.6820000e+01
   1.9910000e+01   1.8000000e+01   2.1120000e+01   1.7100000e+01
   2.2590000e+01   1.7210000e+01   2.2680000e+01   1.8630000e+01
   2.1290000e+01   1.7780000e+01   2.2170000e+01   1.7210000e+01
   2.1310000e+01   1.7370000e+01   2.3440000e+01   1.7080000e+01
   2.1090000e+01   1.7490000e+01   2.2150000e+01   1.7080000e+01
   2.1460000e+01   1.8470000e+01   2.0520000e+01   1.7120000e+01
   2.0870000e+01   1.7720000e+01   1.9990000e+01   1.7090000e+01
   2.1210000e+01   1.7130000e+01   2.1270000e+01   1.7000000e+01
   2.0780000e+01   1.8100000e+01   2.0480000e+01   1.7140000e+01
   2.0430000e+01   1.7210000e+01   2.0080000e+01   1.7810000e+01
   2.0240000e+01   1.7540000e+01   1.7220000e+01   1.6990000e+01
   2.0460000e+01   1.7560000e+01   1.9710000e+01   1.7370000e+01
   1.8400000e+01   1.7060000e+01   1.9990000e+01   1.7470000e+01
   2.0380000e+01   1.7420000e+01   1.7110000e+01   1.7270000e+01
   2.3800000e+01   1.7400000e+01   1.7530000e+01   1.7600000e+01
   2.0880000e+01   1.7430000e+01   1.6090000e+01   1.7270000e+01
   2.0480000e+01   1.8040000e+01   1.9270000e+01   1.7350000e+01
   1.9690000e+01   1.6870000e+01   1.8560000e+01   1.7800000e+01
   2.1850000e+01   1.6770000e+01   1.7910000e+01   1.7620000e+01
   1.9730000e+01   1.8160000e+01   1.7410000e+01   1.7460000e+01
   2.2630000e+01   1.6690000e+01   1.7450000e+01   1.7420000e+01
   1.9160000e+01   1.9470000e+01   2.0590000e+01   1.9370000e+01
   2.8000000e+01   1.8570000e+01   1.7510000e+01   1.7900000e+01
   2.0070000e+01   2.0620000e+01   2.3730000e+01   2.0000000e+01
   1.9550000e+01   2.0740000e+01   2.1790000e+01   1.9610000e+01
   2.3930000e+01   1.8890000e+01   1.7470000e+01   1.7910000e+01
   2.2500000e+01   1.7740000e+01   1.9090000e+01   1.7460000e+01
   2.0390000e+01   1.9800000e+01   2.1370000e+01   1.9790000e+01
   2.2530000e+01   1.8680000e+01   1.7700000e+01   1.7560000e+01
   2.3360000e+01   2.1050000e+01   1.7190000e+01   1.7770000e+01
   2.1600000e+01   1.8500000e+01   2.1650000e+01   1.8190000e+01
   2.0440000e+01   1.9780000e+01   2.1120000e+01   2.1160000e+01
   1.9830000e+01   1.8680000e+01   2.0650000e+01   1.9810000e+01
   2.3020000e+01   1.7910000e+01   2.2200000e+01   1.8390000e+01
   1.8490000e+01   1.9250000e+01   2.0830000e+01   1.9570000e+01
   2.8000000e+01   1.6980000e+01   1.7540000e+01   1.8440000e+01
   2.2500000e+01   1.8080000e+01   1.9250000e+01   1.9120000e+01
   2.1680000e+01   1.7190000e+01   2.0890000e+01   1.8850000e+01
   2.1870000e+01   2.0180000e+01   1.7790000e+01   1.9180000e+01
   2.4720000e+01   1.7820000e+01   2.1810000e+01   1.9140000e+01
   2.2460000e+01   1.8780000e+01   1.9320000e+01   1.8890000e+01
   2.2370000e+01   1.8130000e+01   1.9320000e+01   1.8880000e+01
   1.9190000e+01   1.8170000e+01   1.7630000e+01   1.9240000e+01
   2.0990000e+01   1.9790000e+01   1.9970000e+01   2.0110000e+01
   1.9130000e+01   2.0750000e+01   1.9020000e+01   2.0270000e+01
   2.2670000e+01   1.7720000e+01   1.7430000e+01   1.8980000e+01
   2.4500000e+01   2.3810000e+01   1.9830000e+01   2.0080000e+01
   1.9700000e+01   1.9600000e+01   2.1240000e+01   2.0080000e+01
   2.0290000e+01   1.8170000e+01   1.7640000e+01   1.8970000e+01
   2.3180000e+01   1.9090000e+01   1.7300000e+01   1.9520000e+01
   2.0420000e+01   1.9610000e+01   1.7380000e+01   1.9620000e+01
   1.9970000e+01   2.0630000e+01   2.2350000e+01   1.9810000e+01
   2.6140000e+01   1.8940000e+01   1.9010000e+01   1.9420000e+01
   2.0010000e+01   2.0800000e+01   2.0520000e+01   2.0160000e+01
   2.3150000e+01   2.0840000e+01   2.0170000e+01   1.9630000e+01
